⌚	watch	clock|time|watch
😉	winking face	face|flirt|heartbreaker|sexy|slide|tease|wink|winking|winks
😊	smiling face with smiling eyes	blush|eye|eyes|face|glad|satisfied|smile|smiling
😋	face savoring food	delicious|eat|face|food|full|hungry|savor|smile|smiling|tasty|um|yum|yummy
😌	relieved face	calm|face|peace|relief|relieved|zen
😍	smiling face with heart-eyes	143|bae|eye|face|feels|heart-eyes|hearts|ily|kisses|love|romance|romantic|smile|xoxo
😎	smiling face with sunglasses	awesome|beach|bright|bro|chilling|cool|face|rad|relaxed|shades|slay|smile|style|sunglasses|swag|win
😏	smirking face	boss|dapper|face|flirt|homie|kidding|leer|shade|slick|sly|smirk|smug|snicker|suave|suspicious|swag
😐	neutral face	awkward|blank|deadpan|expressionless|face|fine|jealous|meh|neutral|oh|shade|straight|unamused|unhappy|unimpressed|whatever
😑	expressionless face	awkward|dead|expressionless|face|fine|inexpressive|jealous|meh|not|oh|omg|straight|uh|unhappy|unimpressed|whatever
😒	unamused face	...|bored|face|fine|jealous|jel|jelly|pissed|smh|ugh|uhh|unamused|unhappy|weird|whatever
😓	downcast face with sweat	close|cold|downcast|face|feels|headache|nervous|sad|scared|sweat|yikes
😔	pensive face	awful|bored|dejected|died|disappointed|face|losing|lost|pensive|sad|sucks
😕	confused face	befuddled|confused|confusing|dunno|face|frown|hm|meh|not|sad|sorry|sure
😖	confounded face	annoyed|confounded|confused|cringe|distraught|face|feels|frustrated|mad|sad
😗	kissing face	143|date|dating|face|flirt|ily|kiss|love|smooch|smooches|xoxo|you
😘	face blowing a kiss	adorbs|bae|blowing|face|flirt|heart|ily|kiss|love|lover|miss|muah|romantic|smooch|xoxo|you
😙	kissing face with smiling eyes	143|closed|date|dating|eye|eyes|face|flirt|ily|kiss|kisses|kissing|love|night|smile|smiling
😚	kissing face with closed eyes	143|bae|blush|closed|date|dating|eye|eyes|face|flirt|ily|kisses|kissing|smooches|xoxo
😛	face with tongue	awesome|cool|face|nice|party|stuck-out|sweet|tongue
😜	winking face with tongue	crazy|epic|eye|face|funny|joke|loopy|nutty|party|stuck-out|tongue|wacky|weirdo|wink|winking|yolo
😝	squinting face with tongue	closed|eye|eyes|face|gross|horrible|omg|squinting|stuck-out|taste|tongue|whatever|yolo
😞	disappointed face	awful|blame|dejected|disappointed|face|fail|losing|sad|unhappy
😟	worried face	anxious|butterflies|face|nerves|nervous|sad|stress|stressed|surprised|worried|worry
😠	angry face	anger|angry|blame|face|feels|frustrated|mad|maddening|rage|shade|unhappy|upset
😡	enraged face	anger|angry|enraged|face|feels|mad|maddening|pouting|rage|red|shade|unhappy|upset
😢	crying face	awful|cry|crying|face|feels|miss|sad|tear|triste|unhappy
😣	persevering face	concentrate|concentration|face|focus|headache|persevere|persevering
😤	face with steam from nose	anger|angry|face|feels|fume|fuming|furious|fury|mad|nose|steam|triumph|unhappy|won
😥	sad but relieved face	anxious|call|close|complicated|disappointed|face|not|relieved|sad|sweat|time|whew
😦	frowning face with open mouth	caught|face|frown|frowning|guard|mouth|open|scared|scary|surprise|what|wow
😧	anguished face	anguished|face|forgot|scared|scary|stressed|surprise|unhappy|what|wow
😨	fearful face	afraid|anxious|blame|face|fear|fearful|scared|worried
😩	weary face	crying|face|fail|feels|hungry|mad|nooo|sad|sleepy|tired|unhappy|weary
😪	sleepy face	crying|face|good|night|sad|sleep|sleeping|sleepy|tired
😫	tired face	cost|face|feels|nap|sad|sneeze|tired
😬	grimacing face	awk|awkward|dentist|face|grimace|grimacing|grinning|smile|smiling
😭	loudly crying face	bawling|cry|crying|face|loudly|sad|sob|tear|tears|unhappy
😮	face with open mouth	believe|face|forgot|mouth|omg|open|shocked|surprised|sympathy|unbelievable|unreal|whoa|wow|you
😮‍💨	face exhaling	blow|blowing|exhale|exhaling|exhausted|face|gasp|groan|relief|sigh|smiley|smoke|whisper|whistle
😯	hushed face	epic|face|hushed|omg|stunned|surprised|whoa|woah
😰	anxious face with sweat	anxious|blue|cold|eek|face|mouth|nervous|open|rushed|scared|sweat|yikes
😱	face screaming in fear	epic|face|fear|fearful|munch|scared|scream|screamer|screaming|shocked|surprised|woah
😲	astonished face	astonished|cost|face|no|omg|shocked|totally|way
😳	flushed face	amazed|awkward|crazy|dazed|dead|disbelief|embarrassed|face|flushed|geez|heat|hot|impressed|jeez|what|wow
😴	sleeping face	bed|bedtime|face|good|goodnight|nap|night|sleep|sleeping|tired|whatever|yawn|zzz
😵	face with crossed-out eyes	crossed-out|dead|dizzy|eyes|face|feels|knocked|out|sick|tired
😵‍💫	face with spiral eyes	confused|dizzy|eyes|face|hypnotized|omg|smiley|spiral|trouble|whoa|woah|woozy
😶	face without mouth	awkward|blank|expressionless|face|mouth|mouthless|mute|quiet|secret|silence|silent|speechless
😷	face with medical mask	cold|dentist|dermatologist|doctor|dr|face|germs|mask|medical|medicine|sick
😸	grinning cat with smiling eyes	animal|cat|eye|eyes|face|grin|grinning|smile|smiling
😹	cat with tears of joy	animal|cat|face|joy|laugh|laughing|lol|tear|tears
😺	grinning cat	animal|cat|face|grinning|mouth|open|smile|smiling
😻	smiling cat with heart-eyes	animal|cat|eye|face|heart|heart-eyes|love|smile|smiling
😼	cat with wry smile	animal|cat|face|ironic|smile|wry
😽	kissing cat	animal|cat|closed|eye|eyes|face|kiss|kissing
😾	pouting cat	animal|cat|face|pouting
😿	crying cat	animal|cat|cry|crying|face|sad|tear
🙀	weary cat	animal|cat|face|oh|surprised|weary
🙁	slightly frowning face	face|frown|frowning|sad|slightly
🙂	slightly smiling face	face|happy|slightly|smile|smiling
🙃	upside-down face	face|hehe|smile|upside-down
🙄	face with rolling eyes	eyeroll|eyes|face|rolling|shade|ugh|whatever
🙅	person gesturing NO	forbidden|gesture|hand|NO|not|person|prohibit
🙆	person gesturing OK	exercise|gesture|gesturing|hand|OK|omg|person
🙇	person bowing	apology|ask|beg|bow|bowing|favor|forgive|gesture|meditate|meditation|person|pity|regret|sorry
🙈	see-no-evil monkey	embarrassed|evil|face|forbidden|forgot|gesture|hide|monkey|no|omg|prohibited|scared|secret|smh|watch
🙉	hear-no-evil monkey	animal|ears|evil|face|forbidden|gesture|hear|listen|monkey|no|not|prohibited|secret|shh|tmi
🙊	speak-no-evil monkey	animal|evil|face|forbidden|gesture|monkey|no|not|oops|prohibited|quiet|secret|speak|stealth
🙋	person raising hand	gesture|hand|here|know|me|person|pick|question|raise|raising
🙌	raising hands	celebration|gesture|hand|hands|hooray|praise|raised|raising
🙍	person frowning	annoyed|disappointed|disgruntled|disturbed|frown|frowning|frustrated|gesture|irritated|person|upset
🙎	person pouting	disappointed|downtrodden|frown|grimace|person|pouting|scowl|sulk|upset|whine
🙏	folded hands	appreciate|ask|beg|blessed|bow|cmon|five|folded|gesture|hand|high|please|pray|thanks|thx
🚀	rocket	launch|rocket|rockets|space|travel
🚁	helicopter	copter|helicopter|roflcopter|travel|vehicle
🚂	locomotive	caboose|engine|locomotive|railway|steam|train|trains|travel
🚃	railway car	car|electric|railway|train|tram|travel|trolleybus
🚄	high-speed train	high-speed|railway|shinkansen|speed|train
🚅	bullet train	bullet|high-speed|nose|railway|shinkansen|speed|train|travel
🚆	train	arrived|choo|railway|train
🚇	metro	metro|subway|travel
🚈	light rail	arrived|light|monorail|rail|railway
🚉	station	railway|station|train
🚊	tram	tram|trolleybus
🚋	tram car	bus|car|tram|trolley|trolleybus
🚌	bus	bus|school|vehicle
🚍	oncoming bus	bus|cars|oncoming
🚎	trolleybus	bus|tram|trolley|trolleybus
🚏	bus stop	bus|busstop|stop
🚐	minibus	bus|drive|minibus|van|vehicle
🚑	ambulance	ambulance|emergency|vehicle
🚒	fire engine	engine|fire|truck
🚓	police car	5–0|car|cops|patrol|police
🚔	oncoming police car	car|oncoming|police
🚕	taxi	cab|cabbie|car|drive|taxi|vehicle|yellow
🚖	oncoming taxi	cab|cabbie|cars|drove|hail|oncoming|taxi|yellow
🚗	automobile	automobile|car|driving|vehicle
🚘	oncoming automobile	automobile|car|cars|drove|oncoming|vehicle
🚙	sport utility vehicle	car|drive|recreational|sport|sportutility|utility|vehicle
🚚	delivery truck	car|delivery|drive|truck|vehicle
🚛	articulated lorry	articulated|car|drive|lorry|move|semi|truck|vehicle
🚜	tractor	tractor|vehicle
🚝	monorail	monorail|vehicle
🚞	mountain railway	car|mountain|railway|trip
🚟	suspension railway	railway|suspension
🚠	mountain cableway	cable|cableway|gondola|lift|mountain|ski
🚡	aerial tramway	aerial|cable|car|gondola|ropeway|tramway
🚢	ship	boat|passenger|ship|travel
🚣	person rowing boat	boat|canoe|cruise|fishing|lake|oar|paddle|person|raft|river|row|rowboat|rowing
🚤	speedboat	billionaire|boat|lake|luxury|millionaire|speedboat|summer|travel
🚥	horizontal traffic light	horizontal|intersection|light|signal|stop|stoplight|traffic
🚦	vertical traffic light	drove|intersection|light|signal|stop|stoplight|traffic|vertical
🚧	construction	barrier|construction
🚨	police car light	alarm|alert|beacon|car|emergency|light|police|revolving|siren
🚩	triangular flag	construction|flag|golf|post|triangular
🚪	door	back|closet|door|front
🚫	prohibited	entry|forbidden|no|not|prohibited|smoke
🚬	cigarette	cigarette|smoking
🚭	no smoking	forbidden|no|not|prohibited|smoke|smoking
🚮	litter in bin sign	bin|litter|litterbin|sign
🚯	no littering	forbidden|litter|littering|no|not|prohibited
🚰	potable water	drinking|potable|water
🚱	non-potable water	dry|non-drinking|non-potable|prohibited|water
🚲	bicycle	bicycle|bike|class|cycle|cycling|cyclist|gang|ride|spin|spinning
🚳	no bicycles	bicycle|bicycles|bike|forbidden|no|not|prohibited
🚴	person biking	bicycle|bicyclist|bike|biking|cycle|cyclist|person|riding|sport
🚵	person mountain biking	bicycle|bicyclist|bike|biking|cycle|cyclist|mountain|person|riding|sport
🚶	person walking	amble|gait|hike|man|pace|pedestrian|person|stride|stroll|walk|walking
🚷	no pedestrians	forbidden|no|not|pedestrian|pedestrians|prohibited
🚸	children crossing	child|children|crossing|pedestrian|traffic
🚹	men’s room	bathroom|lavatory|man|men’s|restroom|room|toilet|WC
🚺	women’s room	bathroom|lavatory|restroom|room|toilet|WC|woman|women’s
🚻	restroom	bathroom|lavatory|restroom|toilet|WC
🚼	baby symbol	baby|changing|symbol
🚽	toilet	bathroom|toilet
🚾	water closet	bathroom|closet|lavatory|restroom|toilet|water|WC
🚿	shower	shower|water
🛀	person taking bath	bath|bathtub|person|taking|tub
🛁	bathtub	bath|bathtub
🛂	passport control	control|passport
🛃	customs	customs|packing
🛄	baggage claim	arrived|baggage|bags|case|checked|claim|journey|packing|plane|ready|travel|trip
🛅	left luggage	baggage|case|left|locker|luggage
🛌	person in bed	bed|bedtime|good|goodnight|hotel|nap|night|person|sleep|tired|zzz
🛐	place of worship	place|pray|religion|worship
🛑	stop sign	octagonal|sign|stop
🛒	shopping cart	cart|shopping|trolley
🛕	hindu temple	hindu|temple
🛖	hut	home|house|hut|roundhouse|shelter|yurt
🛗	elevator	accessibility|elevator|hoist|lift
🛜	wireless	broadband|computer|connectivity|hotspot|internet|network|router|smartphone|wi-fi|wifi|wireless|wlan
🛝	playground slide	amusement|park|play|playground|playing|slide|sliding|theme
🛞	wheel	car|circle|tire|turn|vehicle|wheel
🛟	ring buoy	buoy|float|life|lifesaver|preserver|rescue|ring|safety|save|saver|swim
🛫	airplane departure	aeroplane|airplane|check-in|departure|departures|plane
🛬	airplane arrival	aeroplane|airplane|arrival|arrivals|arriving|landing|plane
🛴	kick scooter	kick|scooter
🛵	motor scooter	motor|scooter
🛶	canoe	boat|canoe
🛷	sled	luge|sled|sledge|sleigh|snow|toboggan
🛸	flying saucer	aliens|extra|flying|saucer|terrestrial|UFO
🛹	skateboard	board|skate|skateboard|skater|wheels
🛺	auto rickshaw	auto|rickshaw|tuk
🛻	pickup truck	automobile|car|flatbed|pick-up|pickup|transportation|truck
🛼	roller skate	blades|roller|skate|skates|sport
🟠	orange circle	circle|orange
🟡	yellow circle	circle|yellow
🟢	green circle	circle|green
🟣	purple circle	circle|purple
🟤	brown circle	brown|circle
🟥	red square	card|penalty|red|square
🟦	blue square	blue|square
🟧	orange square	orange|square
🟨	yellow square	card|penalty|square|yellow
🟩	green square	green|square
🟪	purple square	purple|square
🟫	brown square	brown|square
🟰	heavy equals sign	answer|equal|equality|equals|heavy|math|sign
🤌	pinched fingers	fingers|gesture|hand|hold|huh|interrogation|patience|pinched|relax|sarcastic|ugh|what|zip
🤍	white heart	143|heart|white
🤎	brown heart	143|brown|heart
🤏	pinching hand	amount|bit|fingers|hand|little|pinching|small|sort
🤐	zipper-mouth face	face|keep|mouth|quiet|secret|shut|zip|zipper|zipper-mouth
🤑	money-mouth face	face|money|money-mouth|mouth|paid
🤒	face with thermometer	face|ill|sick|thermometer
🤓	nerd face	brainy|clever|expert|face|geek|gifted|glasses|intelligent|nerd|smart
🤔	thinking face	chin|consider|face|hmm|ponder|pondering|thinking|wondering
🤕	face with head-bandage	bandage|face|head-bandage|hurt|injury|ouch
🤖	robot	face|monster|robot
🤗	smiling face with open hands	face|hands|hug|hugging|open|smiling
🤘	sign of the horns	finger|hand|horns|rock-on|sign
🤙	call me hand	call|hand|hang|loose|me|Shaka
🤚	raised back of hand	back|backhand|hand|raised
🤛	left-facing fist	fist|left-facing|leftwards
🤜	right-facing fist	fist|right-facing|rightwards
🤝	handshake	agreement|deal|hand|handshake|meeting|shake
🤞	crossed fingers	cross|crossed|finger|fingers|hand|luck
🤟	love-you gesture	fingers|gesture|hand|ILY|love|love-you|three|you
🤠	cowboy hat face	cowboy|cowgirl|face|hat
🤡	clown face	clown|face
🤢	nauseated face	face|gross|nasty|nauseated|sick|vomit
🤣	rolling on the floor laughing	crying|face|floor|funny|haha|happy|hehe|hilarious|joy|laugh|lmao|lol|rofl|roflmao|rolling|tear
🤤	drooling face	drooling|face
🤥	lying face	face|liar|lie|lying|pinocchio
🤦	person facepalming	again|bewilder|disbelief|exasperation|facepalm|no|not|oh|omg|person|shock|smh
🤧	sneezing face	face|fever|flu|gesundheit|sick|sneeze|sneezing
🤨	face with raised eyebrow	disapproval|disbelief|distrust|emoji|eyebrow|face|hmm|mild|raised|skeptic|skeptical|skepticism|surprise|what
🤩	star-struck	excited|eyes|face|grinning|smile|star|star-struck|starry-eyed|wow
🤪	zany face	crazy|eye|eyes|face|goofy|large|small|zany
🤫	shushing face	face|quiet|shh|shush|shushing
🤬	face with symbols on mouth	censor|cursing|cussing|face|mad|mouth|pissed|swearing|symbols
🤭	face with hand over mouth	face|giggle|giggling|hand|mouth|oops|realization|secret|shock|sudden|surprise|whoops
🤮	face vomiting	barf|ew|face|gross|puke|sick|spew|throw|up|vomit|vomiting
🤯	exploding head	blown|explode|exploding|head|mind|mindblown|no|shocked|way
🤰	pregnant woman	pregnant|woman
🤱	breast-feeding	baby|breast|breast-feeding|feeding|mom|mother|nursing|woman
🤲	palms up together	cupped|dua|hands|palms|pray|prayer|together|up|wish
🤳	selfie	camera|phone|selfie
🤴	prince	crown|fairy|fairytale|fantasy|king|prince|royal|royalty|tale
🤵	person in tuxedo	formal|person|tuxedo|wedding
🤶	Mrs. Claus	celebration|Christmas|claus|fairy|fantasy|holiday|merry|mother|Mrs|santa|tale|xmas
🤷	person shrugging	doubt|dunno|guess|idk|ignorance|indifference|knows|maybe|person|shrug|shrugging|whatever|who
🤸	person cartwheeling	active|cartwheel|cartwheeling|excited|flip|gymnastics|happy|person|somersault
🤹	person juggling	act|balance|balancing|handle|juggle|juggling|manage|multitask|person|skill
🤺	person fencing	fencer|fencing|person|sword
🤼	people wrestling	combat|duel|grapple|people|ring|tournament|wrestle|wrestling
🤽	person playing water polo	person|playing|polo|sport|swimming|water|waterpolo
🤾	person playing handball	athletics|ball|catch|chuck|handball|hurl|lob|person|pitch|playing|sport|throw|toss
🤿	diving mask	diving|mask|scuba|snorkeling
🥀	wilted flower	dying|flower|wilted
🥁	drum	drum|drumsticks|music
🥂	clinking glasses	celebrate|clink|clinking|drink|glass|glasses
🥃	tumbler glass	glass|liquor|scotch|shot|tumbler|whiskey|whisky
🥄	spoon	eat|spoon|tableware
🥅	goal net	goal|net
🥇	1st place medal	1st|first|gold|medal|place
🥈	2nd place medal	2nd|medal|place|second|silver
🥉	3rd place medal	3rd|bronze|medal|place|third
🥊	boxing glove	boxing|glove
🥋	martial arts uniform	arts|judo|karate|martial|taekwondo|uniform
🥌	curling stone	curling|game|rock|stone
🥍	lacrosse	ball|goal|lacrosse|sports|stick
🥎	softball	ball|glove|softball|sports|underarm
🥏	flying disc	disc|flying|ultimate
🥐	croissant	bread|breakfast|crescent|croissant|food|french|roll
🥑	avocado	avocado|food|fruit
🥒	cucumber	cucumber|food|pickle|vegetable
🥓	bacon	bacon|breakfast|food|meat
🥔	potato	food|potato|vegetable
🥕	carrot	carrot|food|vegetable
🥖	baguette bread	baguette|bread|food|french
🥗	green salad	food|green|salad
🥘	shallow pan of food	casserole|food|paella|pan|shallow
🥙	stuffed flatbread	falafel|flatbread|food|gyro|kebab|stuffed
🥚	egg	breakfast|egg|food
🥛	glass of milk	drink|glass|milk
🥜	peanuts	food|nut|peanut|peanuts|vegetable
🥝	kiwi fruit	food|fruit|kiwi
🥞	pancakes	breakfast|crêpe|food|hotcake|pancake|pancakes
🥟	dumpling	dumpling|empanada|gyōza|jiaozi|pierogi|potsticker
🥠	fortune cookie	cookie|fortune|prophecy
🥡	takeout box	box|chopsticks|delivery|food|oyster|pail|takeout
🥢	chopsticks	chopsticks|hashi|jeotgarak|kuaizi
🥣	bowl with spoon	bowl|breakfast|cereal|congee|oatmeal|porridge|spoon
🥤	cup with straw	cup|drink|juice|malt|soda|soft|straw|water
🥥	coconut	coconut|colada|palm|piña
🥦	broccoli	broccoli|cabbage|wild
🥧	pie	apple|filling|fruit|meat|pastry|pie|pumpkin|slice
🥨	pretzel	convoluted|pretzel|twisted
🥩	cut of meat	chop|cut|lambchop|meat|porkchop|red|steak
🥪	sandwich	bread|sandwich
🥫	canned food	can|canned|food
🥬	leafy green	bok|burgers|cabbage|choy|green|kale|leafy|lettuce|salad
🥭	mango	food|fruit|mango|tropical
🥮	moon cake	autumn|cake|festival|moon|yuèbǐng
🥯	bagel	bagel|bakery|bread|breakfast|schmear
🥰	smiling face with hearts	3|adore|crush|face|heart|hearts|ily|love|romance|smile|smiling|you
🥱	yawning face	bedtime|bored|face|goodnight|nap|night|sleep|sleepy|tired|whatever|yawn|yawning|zzz
🥲	smiling face with tear	face|glad|grateful|happy|joy|pain|proud|relieved|smile|smiley|smiling|tear|touched
🥳	partying face	bday|birthday|celebrate|celebration|excited|face|happy|hat|hooray|horn|party|partying
🥴	woozy face	dizzy|drunk|eyes|face|intoxicated|mouth|tipsy|uneven|wavy|woozy
🥵	hot face	dying|face|feverish|heat|hot|panting|red-faced|stroke|sweating|tongue
🥶	cold face	blue|blue-faced|cold|face|freezing|frostbite|icicles|subzero|teeth
🥷	ninja	assassin|fight|fighter|hidden|ninja|person|secret|skills|sly|soldier|stealth|war
🥸	disguised face	disguise|eyebrow|face|glasses|incognito|moustache|mustache|nose|person|spy|tache|tash
🥹	face holding back tears	admiration|aww|back|cry|embarrassed|face|feelings|grateful|gratitude|holding|joy|please|proud|resist|sad|tears
🥺	pleading face	begging|big|eyes|face|mercy|not|pleading|please|pretty|puppy|sad|why
🥻	sari	clothing|dress|sari
🥼	lab coat	clothes|coat|doctor|dr|experiment|jacket|lab|scientist|white
🥽	goggles	dive|eye|goggles|protection|scuba|swimming|welding
🥾	hiking boot	backpacking|boot|brown|camping|hiking|outdoors|shoe
🥿	flat shoe	ballet|comfy|flat|flats|shoe|slip-on|slipper
🦀	crab	Cancer|crab|zodiac
🦁	lion	alpha|animal|face|Leo|lion|mane|order|rawr|roar|safari|strong|zodiac
🦂	scorpion	Scorpio|scorpion|Scorpius|zodiac
🦃	turkey	bird|gobble|thanksgiving|turkey
🦄	unicorn	face|unicorn
🦅	eagle	animal|bird|eagle|ornithology
🦆	duck	animal|bird|duck|ornithology
🦇	bat	animal|bat|vampire
🦈	shark	animal|fish|shark
🦉	owl	animal|bird|ornithology|owl|wise
🦊	fox	animal|face|fox
🦋	butterfly	butterfly|insect|pretty
🦌	deer	animal|deer
🦍	gorilla	animal|gorilla
🦎	lizard	animal|lizard|reptile
🦏	rhinoceros	animal|rhinoceros
🦐	shrimp	food|shellfish|shrimp|small
🦑	squid	animal|food|mollusk|squid
🦒	giraffe	animal|giraffe|spots
🦓	zebra	animal|stripe|zebra
🦔	hedgehog	animal|hedgehog|spiny
🦕	sauropod	brachiosaurus|brontosaurus|dinosaur|diplodocus|sauropod
